Title,Author,Publication,Date,Year,URL,Bibcode,DOI,Instruments
Elemental Abundances in M31: The Kinematics and Chemical Evolution of Dwarf Spheroidal Satellite Galaxies,Kirby E. | Gilbert K. | Escala I. | et. al.,AJ 159 46,2020 02,2020,arXiv:1912.02186,2020AJ....159...46K,10.3847/1538-3881/ab5f0f,{'deimos': 14}
ROBO-AO Kepler Asteroseismic Survey. II. Do Stellar Companions Inhibit Stellar Oscillations?,Schonhut-Stasik J. | Huber D. | Baranec C. | et. al.,ApJ 888 34,2020 01,2020,,2020ApJ...888...34S,10.3847/1538-4357/ab50c3,{'nirc': 13}
The Full Kepler Phase Curve of the Eclipsing Hot White Dwarf Binary System KOI-964,Wong I. | Shporer A. | Becker J. | et. al.,AJ 159 29,2020 01,2020,arXiv:1910.08524,2020AJ....159...29W,10.3847/1538-3881/ab59d6,{}
The Orbit of WASP-12b Is Decaying,Yee S. | Winn J. | Knutson H. | et. al.,ApJL 888 L5,2020 01,2020,arXiv:1911.09131,2020ApJ...888L...5Y,10.3847/2041-8213/ab5c16,{}
Atmospheric Characterization and Further Orbital Modeling of κ Andromeda b,Uyama T. | Currie T. | Hori Y. | et. al.,AJ 159 40,2020 02,2020,arXiv:1911.09758,2020AJ....159...40U,10.3847/1538-3881/ab5afa,"{'nirc': 11, 'osiris': 2}"
A kilonova associated with GRB 070809,Jin Z. | Covino S. | Liao N. | et. al.,NatAs 4 77,2020 01,2020,arXiv:1901.06269,2020NatAs...4...77J,10.1038/s41550-019-0892-y,{}
"Search for Nearby Earth Analogs. II. Detection of Five New Planets, Eight Planet Candidates, and Confirmation of Three Planets around Nine Nearby M Dwarfs",Feng F. | Butler R. | Shectman S. | et. al.,ApJS 246 11,2020 01,2020,arXiv:2001.02577,2020ApJS..246...11F,10.3847/1538-4365/ab5e7c,{}
K2-19b and c are in a 3:2 Commensurability but out of Resonance: A Challenge to Planet Assembly by Convergent Migration,Petigura E. | Livingston J. | Batygin K. | et. al.,AJ 159 2,2020 01,2020,arXiv:1910.12899,2020AJ....159....2P,10.3847/1538-3881/ab5220,{}
Magnetic Inflation and Stellar Mass. V. Intensification and Saturation of M-dwarf Absorption Lines with Rossby Number,Muirhead P. | Veyette M. | Newton E. | et. al.,AJ 159 52,2020 02,2020,arXiv:1912.01004,2020AJ....159...52M,10.3847/1538-3881/ab5d3d,{'nirspec': 109}
Evolution of Structure in the Intergalactic Medium and the Nature of the Lyα Forest,Bi H. | Davidsen A.,ApJ 479 523,1997 04,1997,arXiv:astro-ph/9611062,1997ApJ...479..523B,10.1086/303908,{}
Galaxy Clusters at z &gt;= 1: Gas Constraints from the Sunyaev-Zel'dovich Array,Culverhouse T. | Bonamente M. | Bulbul E. | et. al.,ApJL 723 L78,2010 11,2010,arXiv:1007.2853,2010ApJ...723L..78C,10.1088/2041-8205/723/1/L78,{}
The fraction of ionizing radiation from massive stars that escapes to the intergalactic medium,Tanvir N. | Fynbo J. | de Ugarte Postigo A. | et. al.,MNRAS 483 5380,2019 03,2019,arXiv:1805.07318,2019MNRAS.483.5380T,10.1093/mnras/sty3460,"{'lris': 7, 'osiris': 21}"
A Galaxy at z = 6.545 and Constraints on the Epoch of Reionization,Stern D. | Yost S. | Eckart M. | et. al.,ApJ 619 12,2005 01,2005,arXiv:astro-ph/0407409,2005ApJ...619...12S,10.1086/426423,"{'deimos': 5, 'esi': 3}"
HAT-P-27b: A Hot Jupiter Transiting a G Star on a 3 Day Orbit,Béky B. | Bakos G. | Hartman J. | et. al.,ApJ 734 109,2011 06,2011,arXiv:1101.3511,2011ApJ...734..109B,10.1088/0004-637X/734/2/109,{}
The CGM-GRB Study. I. Uncovering the Circumgalactic Medium around GRB Hosts at Redshifts 2-6,Gatkine P. | Veilleux S. | Cucchiara A.,ApJ 884 66,2019 10,2019,arXiv:1907.05903,2019ApJ...884...66G,10.3847/1538-4357/ab31ae,{'esi': 1}
RINGFINDER: Automated Detection of Galaxy-scale Gravitational Lenses in Ground-based Multi-filter Imaging Data,Gavazzi R. | Marshall P. | Treu T.,ApJ 785 144,2014 04,2014,arXiv:1403.1041,2014ApJ...785..144G,10.1088/0004-637X/785/2/144,"{'nirc': 1, 'deimos': 1, 'lris': 1}"
The upcoming mutual event season for the Patroclus-Menoetius Trojan binary,Grundy W. | Noll K. | Buie M.,Icar 305 198,2018 05,2018,arXiv:1903.03729,2018Icar..305..198G,10.1016/j.icarus.2018.01.009,{'nirc': 1}
Predictions and Strategies for Integral-Field Spectroscopy of High-Redshift Galaxies,Law D. | Steidel C. | Erb D.,AJ 131 70,2006 01,2006,arXiv:astro-ph/0509779,2006AJ....131...70L,10.1086/498683,"{'nirspec': 6, 'osiris': 45}"
Active Galactic Nuclei Emission Line Diagnostics and the Mass-Metallicity Relation up to Redshift z ~ 2: The Impact of Selection Effects and Evolution,Juneau S. | Bournaud F. | Charlot S. | et. al.,ApJ 788 88,2014 06,2014,arXiv:1403.6832,2014ApJ...788...88J,10.1088/0004-637X/788/1/88,"{'nirspec': 1, 'deimos': 1, 'mosfire': 2}"
"Abundance Patterns in the Draco, Sextans, and Ursa Minor Dwarf Spheroidal Galaxies",Shetrone M. | Côté P. | Sargent W.,ApJ 548 592,2001 02,2001,arXiv:astro-ph/0009505,2001ApJ...548..592S,10.1086/319022,{}
The innermost dusty structure in active galactic nuclei as probed by the Keck interferometer,Kishimoto M. | Hönig S. | Antonucci R. | et. al.,A&A 527 A121,2011 03,2011,arXiv:1012.5359,2011A&A...527A.121K,10.1051/0004-6361/201016054,{}
Io's Loki Patera: Modeling of three brightening events in 2013-2016,de Kleer K. | de Pater I.,Icar 289 181,2017 06,2017,,2017Icar..289..181D,10.1016/j.icarus.2017.01.038,{'nirc': 1}
The SLUGGS survey: multipopulation dynamical modelling of the elliptical galaxy NGC 1407 from stars and globular clusters,Pota V. | Romanowsky A. | Brodie J. | et. al.,MNRAS 450 3345,2015 07,2015,arXiv:1504.03325,2015MNRAS.450.3345P,10.1093/mnras/stv831,{'deimos': 5}
A median redshift of 2.4 for galaxies bright at submillimetre wavelengths,Chapman S. | Blain A. | Ivison R.,Natur 422 695,2003 04,2003,arXiv:astro-ph/0304235,2003Natur.422..695C,10.1038/nature01540,"{'lris': 2, 'esi': 3}"
Optical Spectroscopy of K-Selected Extremely Red Galaxies,Yan L. | Thompson D. | Soifer B.,AJ 127 1274,2004 03,2004,arXiv:astro-ph/0312142,2004AJ....127.1274Y,10.1086/382098,{'lris': 7}
Distributed Low-mass Star Formation in the IRDC G34.43+00.24,Foster J. | Arce H. | Kassis M. | et. al.,ApJ 791 108,2014 08,2014,arXiv:1407.6003,2014ApJ...791..108F,10.1088/0004-637X/791/2/108,{'nirc': 1}
"A New Einstein Cross: A Highly Magnified, Intrinsically Faint Lyα Emitter at z=2.7",Bolton A. | Moustakas L. | Stern D. | et. al.,ApJL 646 L45,2006 07,2006,arXiv:astro-ph/0606210,2006ApJ...646L..45B,10.1086/506446,{'lris': 3}
Stellar Populations of Luminous Evolved Galaxies at z ~ 1.5,McGrath E. | Stockton A. | Canalizo G.,ApJ 669 241,2007 11,2007,arXiv:0707.1046,2007ApJ...669..241M,10.1086/521433,"{'deimos': 4, 'lris': 7, 'esi': 4}"
"A vast, thin plane of corotating dwarf galaxies orbiting the Andromeda galaxy",Ibata R. | Lewis G. | Conn A. | et. al.,Natur 493 62,2013 01,2013,arXiv:1301.0446,2013Natur.493...62I,10.1038/nature11717,{}
High-precision analysis of binary stars with planets. I. Searching for condensation temperature trends in the HD 106515 system,Saffe C. | Jofré E. | Miquelarena P. | et. al.,A&A 625 A39,2019 05,2019,arXiv:1904.01955,2019A&A...625A..39S,10.1051/0004-6361/201935352,{}
Hot subdwarf stars in close-up view. II. Rotational properties of single and wide binary subdwarf B stars,Geier S. | Heber U.,A&A 543 A149,2012 07,2012,arXiv:1206.6977,2012A&A...543A.149G,10.1051/0004-6361/201219463,{}
On the Spin-Orbit Misalignment of the XO-3 Exoplanetary System,Winn J. | Johnson J. | Fabrycky D. | et. al.,ApJ 700 302,2009 07,2009,arXiv:0902.3461,2009ApJ...700..302W,10.1088/0004-637X/700/1/302,{}
Multiwavelength Light Curves of Two Remarkable Sagittarius A* Flares,Fazio G. | Hora J. | Witzel G. | et. al.,ApJ 864 58,2018 09,2018,arXiv:1807.07599,2018ApJ...864...58F,10.3847/1538-4357/aad4a2,{'nirc': 2}
A Keck Adaptive Optics Survey of a Representative Sample of Gravitationally Lensed Star-forming Galaxies: High Spatial Resolution Studies of Kinematics and Metallicity Gradients,Leethochawalit N. | Jones T. | Ellis R. | et. al.,ApJ 820 84,2016 04,2016,arXiv:1509.01279,2016ApJ...820...84L,10.3847/0004-637X/820/2/84,"{'nirspec': 2, 'esi': 1, 'osiris': 14}"
Ultracool Field Brown Dwarf Candidates Selected at 4.5 μm,Eisenhardt P. | Griffith R. | Stern D. | et. al.,AJ 139 2455,2010 06,2010,arXiv:1004.1436,2010AJ....139.2455E,10.1088/0004-6256/139/6/2455,{'nirc': 2}
The return of activity in main-belt comet 133P/Elst-Pizarro,Hsieh H. | Jewitt D. | Lacerda P. | et. al.,MNRAS 403 363,2010 03,2010,arXiv:0911.5522,2010MNRAS.403..363H,10.1111/j.1365-2966.2009.16120.x,{}
